stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\abdul\source\repos\2048 OOP Game\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\abdul\source\repos\2048 OOP Game\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
dtor     D               dtor.c:196  _al_register_destructor          [   0.00055] added dtor for timer 0000020DD1E5FC40, func 00007FFF5DA21050
dtor     D               dtor.c:196  _al_register_destructor          [   0.00067] added dtor for queue 0000020DD1E505E0, func 00007FFF5DA21C53
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00087] Also searching C:\Users\abdul\source\repos\2048 OOP Game\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00118] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00129] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00782] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.03729] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.03831] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.03844] al_display=0000020DD1E83DE0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.03850] al_display->vt=0000020DD1E9EBD0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.04274] found 64 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.04329] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04363] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04374] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04384] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04390] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04396] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04400] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04406] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04411] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04418] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04422] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04427] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04431] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04435] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04439] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04451] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04460] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04474] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04480] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04485] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04489] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04494] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04498] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04502] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04506] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04511] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.04520] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.04525] Score is : 641
